agency,borough,complaint_type,days_to_closure,number_of_records,past_number_of_weeks,created_after_timestamp
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),33,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),34,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),35,5,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),36,6,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),37,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),38,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),39,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),40,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),42,4,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),43,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),45,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),46,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),47,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),48,2,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),50,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),51,3,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),52,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),54,1,12,2017-05-29T22:38:45.331470
DOB,BROOKLYN,Special Projects Inspection Team (SPIT),58,2,12,2017-05-29T22:38:45.331470
